Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1961","1961","kg/ha","1666.9","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1962","1962","kg/ha","1155.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1963","1963","kg/ha","1368.4","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1964","1964","kg/ha","1651.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1965","1965","kg/ha","1393.2","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1966","1966","kg/ha","1612.6","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1967","1967","kg/ha","1378.1","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1968","1968","kg/ha","1236.2","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1969","1969","kg/ha","1835.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1970","1970","kg/ha","1636","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1971","1971","kg/ha","1599.5","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1972","1972","kg/ha","1408.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1973","1973","kg/ha","1406.3","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1974","1974","kg/ha","1832.6","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1975","1975","kg/ha","1441.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1976","1976","kg/ha","2025.2","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1977","1977","kg/ha","2018.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1978","1978","kg/ha","1039.6","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1979","1979","kg/ha","2100.6","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1980","1980","kg/ha","1813.7","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1981","1981","kg/ha","2298","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1982","1982","kg/ha","1874.8","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01371","Almonds, in shell","1983","1983","kg/ha","1235.6","A","Official figure",""
